"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"quantmod","quantmod","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.17",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,XML,downloader,jsonlite(>= 1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"quantreg","quantreg","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.55",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"questionr","questionr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,"R (>= 2.10)","shiny (>= 1.0.5), miniUI, rstudioapi, highr, classInt,
htmltools, graphics, stats, utils, labelled (>= 2.0.0)",NA,"memisc, testthat, roxygen2, dplyr, tidyr, janitor, forcats,
knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"qvcalc","qvcalc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.2",NA,NA,NA,NA,"relimp, MASS","psychotools, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"R.cache","R.cache","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.14.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.8.0), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"R.methodsS3","R.methodsS3","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8.0",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"R.oo","R.oo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.23.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.7.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"R.rsp","R.rsp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.43.2",NA,"R (>= 2.14.0)","methods, stats, tools, utils, R.methodsS3 (>= 1.7.1), R.oo (>=
1.22.0), R.utils, R.cache (>= 0.13.0), digest (>= 0.6.13)",NA,"tcltk, markdown (>= 0.8), knitr (>= 1.9), R.devices (>=
2.15.1), base64enc (>= 0.1-2)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"R.utils","R.utils","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.9.2",NA,"R (>= 2.14.0), R.oo (>= 1.23.0)","methods, utils, tools, R.methodsS3 (>= 1.7.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"r2d3","r2d3","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.3",NA,"R (>= 3.1.2)","htmlwidgets (>= 1.2), htmltools, jsonlite, rstudioapi",NA,"knitr, rmarkdown, shiny, shinytest, testthat, webshot",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"R2WinBUGS","R2WinBUGS","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1-21",NA,"R (>= 2.13.0), coda (>= 0.11-0), boot","utils, stats, graphics",NA,"BRugs (>= 0.3-2)",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"R6","R6","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.4.1",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RandomFields","RandomFields","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.3.8",NA,"R (>= 3.5.0), sp, RandomFieldsUtils (>= 0.5.1)","graphics, methods, grDevices, stats, utils","RandomFieldsUtils","colorspace, RColorBrewer, mvtnorm, raster, tcltk2, tcltk,
tkrplot, spam, tools, minqa, soma, optimx, nloptr, pso, GenSA",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"RandomFieldsUtils","RandomFieldsUtils","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.3",NA,"R (>= 3.0)","utils, methods",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"randomForest","randomForest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.6-14",NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"ranger","ranger","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.12.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"RANN","RANN","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"rapidjsonr","rapidjsonr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"RApiSerialize","RApiSerialize","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rappdirs","rappdirs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.1",NA,"R (>= 2.14), methods",NA,NA,"testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rapportools","rapportools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"reshape","plyr, pander",NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"raster","raster","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0-12",NA,"sp (>= 1.2-0), R (>= 3.0.0)","Rcpp, methods","Rcpp","rgdal (>= 0.9-1), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"rasterVis","rasterVis","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.47",NA,"R (>= 2.14.0), methods, raster (>= 2.0-12), lattice,
latticeExtra","stats, utils, parallel, grid, grDevices, RColorBrewer, hexbin,
sp (>= 1.0-6), zoo, viridisLite",NA,"rgl, ggplot2, colorspace, dichromat, sf",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"rayrender","rayrender","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.0",NA,NA,"Rcpp (>= 1.0.0), parallel, assertthat, tibble, magrittr,
purrr, png, raster","Rcpp, RcppThread, progress",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rayshader","rayshader","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.13.7",NA,"R (>= 3.0.2)","doParallel, foreach, Rcpp, progress, raster, scales, png,
magrittr, rgl, grDevices, ggplot2, grid, utils, rayrender,
methods","Rcpp, progress, RcppArmadillo","reshape2, viridis, av, magick",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rBayesianOptimization","rBayesianOptimization","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 2.10)","stats, utils, data.table (>= 1.9.6), magrittr, foreach, GPfit",NA,"xgboost",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rbokeh","rbokeh","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,NA,"htmlwidgets (>= 0.5), maps, methods, jsonlite, digest, hexbin,
lazyeval, pryr, magrittr, ggplot2, scales, gistr",NA,"testthat, data.table, lattice, lintr, roxygen2 (>= 5.0.0),
knitr","shiny (>= 0.12)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rcmdcheck","rcmdcheck","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RColorBrewer","RColorBrewer","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.6.1"
"Rcpp","Rcpp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.4.6",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RcppArmadillo","RcppArmadillo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.850.1.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix, pkgKitten, reticulate, rmarkdown, knitr,
pinp, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RcppEigen","RcppEigen","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.3.7.0",NA,"R (>= 2.15.1)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"RcppNumerical","RcppNumerical","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-0",NA,NA,"Rcpp","Rcpp, RcppEigen","knitr, rmarkdown, prettydoc, mvtnorm, RcppEigen",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RcppParallel","RcppParallel","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.0.0",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"RcppProgress","RcppProgress","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"RcppRoll","RcppRoll","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RcppThread","RcppThread","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.4",NA,"R (>= 3.3.0)",NA,NA,"testthat, R.rsp, Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RCurl","RCurl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.98-1.1",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"Rdpack","Rdpack","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.11-1",NA,"R (>= 2.15.0), methods","tools, utils, grDevices, bibtex (>= 0.4.0), gbRd",NA,"testthat, rstudioapi, rprojroot",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"readr","readr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.1",NA,"R (>= 3.1)","Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"readxl","readxl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"recipes","recipes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.10",NA,"R (>= 3.1), dplyr","generics, glue, gower, ipred, lubridate, magrittr, Matrix,
purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble, tidyr (>=
0.8.3), tidyselect (>= 0.2.5), timeDate, utils, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, pls, RANN, RcppRoll, rmarkdown,
rpart, rsample, RSpectra, testthat (>= 2.1.0), xml2",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"registry","registry","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rematch","rematch","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"remotes","remotes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1.1",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"renv","renv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.3",NA,NA,"utils",NA,"covr, knitr, packrat, remotes, reticulate, rmarkdown,
rstudioapi, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"repeated","repeated","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.2",NA,"R (>= 1.4), rmutil",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"repr","repr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 3.0.1)","utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc",NA,"methods, highr, Cairo, stringr, testthat, diffobj (>= 0.2.3),
leaflet","data.table, dplyr, htmlwidgets, vegalite, plotly, geojsonio","GPL-3",NA,NA,NA,NA,"no","3.6.1"
"reprex","reprex","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.0",NA,"R (>= 3.1)","callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr",NA,"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"reshape","reshape","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"reshape2","reshape2","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.3",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"ResourceSelection","ResourceSelection","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-5",NA,"R (>= 2.13.0)","MASS, pbapply, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"reticulate","reticulate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.15",NA,"R (>= 3.0)","graphics, jsonlite, Matrix, methods, rappdirs, Rcpp (>=
0.12.7), utils","Rcpp","callr, knitr, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.6.1"
"rex","rex","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.2",NA,NA,"magrittr, lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, Hmisc, stringr,
rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rgdal","rgdal","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-8",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rgenoud","rgenoud","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.8-3.0",NA,"R (>= 2.15), utils",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rgeos","rgeos","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5-2",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rgexf","rgexf","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.16.0",NA,NA,"XML, igraph, grDevices, utils, servr",NA,"knitr, rmarkdown, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rgl","rgl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.100.50",NA,"R (>= 3.2.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr, jsonlite (>= 0.9.20), shiny, magrittr, crosstalk,
manipulateWidget (>= 0.9.0)",NA,"MASS, rmarkdown, deldir, orientlib, lattice, misc3d,
rstudioapi, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d, tcltk",NA,"GPL",NA,NA,NA,NA,"yes","3.6.1"
"RgoogleMaps","RgoogleMaps","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.5.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png,sp",NA,"PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"riingo","riingo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,"R (>= 2.10)","crayon (>= 1.3.4), dplyr (>= 0.7.4), glue (>= 1.3.1), httr (>=
1.3.1), jsonlite (>= 1.5), tibble (>= 1.4.2), rlang (>= 0.2.0),
purrr (>= 0.2.4)",NA,"testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rio","rio","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.16",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.0), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, csvy,
feather, fst, hexView, jsonlite, readODS (>= 1.6.4), readr,
rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rJava","rJava","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-12",NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"rjson","rjson","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"RJSONIO","RJSONIO","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-1.4",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rlang","rlang","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.5",NA,"R (>= 3.2.0)",NA,NA,"cli, covr, crayon, glue, magrittr, methods, pillar,
rmarkdown, testthat (>= 2.3.0), vctrs (>= 0.2.3)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rlist","rlist","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.6.1",NA,"R (>= 2.15)","yaml, jsonlite, XML, data.table",NA,"testthat, stringdist, pipeR",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rmapshaper","rmapshaper","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.4",NA,NA,"geojsonio (>= 0.6.0), geojsonlint (>= 0.2.0), jsonlite (>=
1.5), methods, readr (>= 1.1.1), sf (>= 0.6), sp (>= 1.2-7), V8
(>= 3.0)",NA,"knitr, magrittr, rgdal, rgeos, rmarkdown, testthat (>=
2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rmapzen","rmapzen","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.2",NA,"R (>= 2.10)","tibble, httr, jsonlite, maps, dplyr, assertthat, geojsonio,
tidyr, purrr, sp, rgdal, digest, maptools, sf (>= 0.6-2), utils",NA,"testthat, covr, knitr, rmarkdown, rlang",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RMariaDB","RMariaDB","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.8",NA,"R (>= 2.8.0)","bit64, DBI (>= 1.1.0), hms (>= 0.5.0), methods, Rcpp (>=
0.12.4)","BH, plogr, Rcpp","DBItest (>= 1.7.0), rprojroot, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rmarkdown","rmarkdown","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), base64enc, jsonlite, mime, tinytex
(>= 0.11), xfun, methods, stringr (>= 1.2.0)",NA,"shiny (>= 0.11), tufte, testthat, digest, dygraphs, tibble,
fs, pkgdown, callr (>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"rms","rms","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.1-4",NA,"R (>= 3.5.0), Hmisc (>= 4.3-0), survival (>= 3.1-6), lattice,
ggplot2 (>= 2.2), SparseM","methods, quantreg, rpart, nlme (>= 3.1-123), polspline,
multcomp, htmlTable (>= 1.11.0), htmltools",NA,"boot, tcltk, plotly (>= 4.5.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rmutil","rmutil","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.3",NA,"R (>= 1.4)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"RMySQL","RMySQL","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.10.20",NA,"R (>= 2.8.0), DBI (>= 0.4)","methods",NA,"RMariaDB, testthat, curl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"RNetCDF","RNetCDF","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1-1",NA,"R (>= 3.0.0)",NA,NA,"bit64",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rngtools","rngtools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"robustbase","robustbase","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.93-6",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"ROCit","ROCit","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.1",NA,NA,"stats, graphics",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ROCR","ROCR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-7",NA,"gplots, methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"RODBC","RODBC","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-16",NA,"R (>= 3.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"Rook","Rook","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-1",NA,"R (>= 2.13.0)","utils, tools, methods, brew",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"roxygen2","roxygen2","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","7.1.0",NA,"R (>= 3.2)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RPostgreSQL","RPostgreSQL","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6-2",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rprojroot","rprojroot","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-2",NA,"R (>= 3.0.0)","backports",NA,"testthat, mockr, knitr, withr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"RQGIS","RQGIS","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.4",NA,"R (>= 3.2.0), reticulate (>= 1.2)","raster, RCurl, readr, rgdal, sf (>= 0.4-2), sp, stringr,
tools, XML",NA,"knitr, rgrass7, rmarkdown, testthat, RSAGA",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"RSAGA","RSAGA","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.0",NA,"R (>= 2.10), gstat, shapefiles, plyr","stats, utils, rgdal, stringr, magrittr",NA,"knitr, rmarkdown, testthat, maptools, rgeos",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rsample","rsample","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.6",NA,"R (>= 3.1)","dplyr, purrr, tibble, rlang (>= 0.4.0), methods, generics,
utils, tidyselect, furrr, tidyr",NA,"ggplot2, testthat, rmarkdown, knitr, AmesHousing, recipes (>=
0.1.4), broom, xml2, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rsconnect","rsconnect","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.16",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl, packrat (>= 0.4.8-1),
rstudioapi (>= 0.5), yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"RSelenium","RSelenium","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7.7",NA,"R (>= 3.0.0)","XML, methods, caTools, tools, utils, openssl, httr, wdman(>=
0.2.2), binman",NA,"testthat, knitr, Rcompression, covr, rmarkdown",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
